ID_Cultivo,Nombre_Cultivo,Fecha_Siembra,Fecha_Cosecha,Ubicación_Parcela,Tipo_Suelo,pH_Suelo,Humedad_Suelo,Temperatura_Aire,Precipitación_Total,Horas_Sol,Fertilizante_Usado,Pesticida_Usado,Riego_Aplicado,Rendimiento_Cosecha,Calidad_Cosecha,Enfermedades_Presentes,Plagas_Presentes,Método_Cultivo,Variedad_Semilla
CUL052,Papa,2024-12-25,2025-02-28,"-44.9267295, -63.438762",Franco,6.9,70.0,27.7,682.2,1232.3,NPK,Organofosforado,,4381.9,Buena,,commodi,Convencional,doloribus
CUL053,Papa,2025-01-05,2025-01-18,"-51.1807955, -42.820120",Arcilloso,6.2,14.6,18.0,693.1,1352.3,Fosfato,Glifosato,454.1,3869.5,Regular,error,,Orgánico,odit
CUL054,Trigo,2024-09-05,2025-04-15,"40.442506, 159.284803",Franco,5.0,61.0,23.9,932.8,1010.0,Potasio,Organofosforado,143.3,4314.0,Excelente,tempora,,Hidropónico,expedita
CUL055,Maíz,2024-04-19,2024-10-14,"62.4747395, -164.511784",Arenoso,7.9,61.3,24.5,240.8,1052.4,Fosfato,Carbamato,184.1,1825.7,Excelente,,,Orgánico,rem
CUL056,Arroz,2024-06-17,2024-09-13,"-78.972590, -65.045394",Arenoso,7.7,26.9,16.6,788.7,2434.9,Fosfato,Glifosato,754.3,4101.8,Buena,sit,,Orgánico,praesentium
CUL057,,2024-06-11,2024-12-23,"73.101584, -142.946225",Franco,4.7,58.7,28.1,754.2,1628.3,Fosfato,Organofosforado,666.3,,Regular,,,Hidropónico,quas
CUL058,Arroz,2025-01-28,2024-07-12,"68.489659, -57.478548",Arenoso,5.4,42.1,34.1,923.0,1362.1,Fosfato,Glifosato,519.3,3995.5,Buena,,,Convencional,veritatis
CUL059,Maíz,2025-01-13,2024-11-24,"-71.9684255, 140.273115",Calizo,7.6,60.2,30.8,171.5,2053.2,Fosfato,,165.2,4329.6,Regular,,illo,,ratione
CUL060,Papa,2024-08-14,2024-11-06,"67.6430345, -77.005030",Arcilloso,5.3,21.1,19.4,711.8,2781.3,NPK,Organofosforado,864.6,4581.8,,,,Convencional,fugit
CUL061,Soja,2024-12-08,2024-10-29,"28.3798035, -119.942212",Arenoso,6.0,29.0,16.4,134.9,2138.3,Urea,Organofosforado,513.7,1120.6,Buena,necessitatibus,,Orgánico,nam
CUL062,Soja,2024-04-23,2024-05-18,"-57.450542, -167.187760",Calizo,5.0,29.7,34.0,707.5,1533.8,NPK,Carbamato,762.3,4695.8,Buena,,dolorem,Convencional,quibusdam
CUL063,Soja,2024-08-15,2025-01-12,"74.5226045, 2.794540",Arenoso,7.2,65.0,31.7,377.2,1271.6,Potasio,Organofosforado,474.0,4474.1,Regular,,,Orgánico,aut
CUL064,Arroz,2024-07-03,2024-05-04,"-29.6054195, -3.316614",Arcilloso,6.8,65.2,22.7,178.2,2400.3,Fosfato,Organofosforado,120.9,1854.1,,,pariatur,Hidropónico,vel
CUL065,Arroz,2024-04-17,2024-09-22,"61.916787, -23.833901",Franco,5.6,57.2,20.0,777.1,1191.8,NPK,Carbamato,417.3,2845.3,Excelente,,enim,Orgánico,quas
CUL066,Soja,2024-11-11,2025-04-13,"-0.533806, -170.988296",Arcilloso,7.9,69.1,29.1,515.7,2894.5,Fosfato,Piretroide,859.3,4263.8,Regular,,,Convencional,numquam
CUL067,Trigo,2024-03-30,2025-01-19,"-9.9683385, 33.898919",Calizo,4.6,35.9,28.6,873.2,1844.1,NPK,Piretroide,506.6,3883.7,Regular,,,Hidropónico,reiciendis
CUL068,Maíz,2024-11-28,2024-03-28,"35.261985, 124.867659",Franco,8.0,77.0,28.6,591.6,1510.6,Urea,Organofosforado,556.4,3900.5,Buena,,,Orgánico,doloremque
CUL069,Arroz,2025-02-05,2025-02-18,"72.5729705, 32.372010",Arcilloso,4.2,15.0,17.3,886.1,2948.3,NPK,Glifosato,285.3,3174.2,Regular,consequatur,,Orgánico,nisi
CUL070,Papa,2024-11-14,2024-12-27,"50.2398475, 90.300444",Arcilloso,7.8,27.6,,737.5,1091.9,NPK,Organofosforado,737.1,3148.5,Excelente,,aliquid,Orgánico,facere
CUL071,Trigo,2024-07-04,2024-07-03,"-2.9573755, 8.605214",Arenoso,5.2,64.1,22.5,940.4,2292.3,Urea,Piretroide,859.2,2437.3,Buena,vero,voluptates,Hidropónico,expedita
CUL072,Arroz,2024-02-12,2025-04-13,"-78.3091685, 40.516226",Calizo,,11.5,33.1,338.3,,NPK,Glifosato,543.9,3465.6,Excelente,numquam,,Convencional,aliquam
CUL073,Papa,2025-02-07,2024-05-20,"79.448989, 93.526750",Arenoso,4.3,24.4,20.2,243.9,1170.2,NPK,Carbamato,272.0,2969.7,Regular,,,Convencional,
CUL074,Trigo,2024-10-31,2025-03-27,"-11.117028, -17.646778",Arcilloso,7.1,38.2,29.5,,2006.8,Fosfato,Carbamato,107.7,2889.2,Excelente,,,Hidropónico,
CUL075,Trigo,2024-12-04,2024-08-26,"-69.444529, 156.575211",Arenoso,5.5,34.5,27.9,145.2,1887.4,NPK,Piretroide,255.0,2734.0,Regular,,,Orgánico,ea
CUL076,Maíz,2024-11-15,2024-06-17,"76.841948, -68.801346",Franco,6.3,72.3,19.3,584.4,2743.5,Potasio,Carbamato,805.0,4909.6,Buena,,perspiciatis,Orgánico,culpa
CUL077,Arroz,2024-06-09,2024-12-20,"58.7413775, -68.920739",Arcilloso,5.3,56.3,27.6,706.0,2437.9,Fosfato,Carbamato,432.6,1762.3,Excelente,,,Convencional,explicabo
CUL078,Papa,2024-06-24,2024-11-10,"19.541583, 136.896952",Arenoso,5.4,76.7,29.5,998.0,2406.0,Fosfato,Glifosato,819.9,,Buena,,,,architecto
CUL079,,2024-04-30,2024-07-11,"-39.2106385, -131.199163",Arenoso,6.7,68.6,27.3,531.9,1784.3,Urea,Glifosato,884.2,1175.9,Regular,,,Convencional,laudantium
CUL080,Papa,2024-07-01,2024-09-17,"-16.1885415, 44.732130",Calizo,6.3,50.4,33.1,115.0,1692.3,Urea,Carbamato,450.2,,Buena,,,Orgánico,consequuntur
CUL081,Trigo,2024-11-25,2025-02-28,"78.490567, 50.584299",Calizo,7.4,53.1,34.1,240.9,,NPK,Piretroide,771.8,4175.1,Regular,facere,,Orgánico,dolorum
CUL082,Arroz,2024-09-11,2024-04-28,"17.634344, 0.236779",Arcilloso,6.8,32.5,24.2,693.1,,Potasio,Glifosato,885.6,1579.7,Regular,,,Orgánico,eaque
CUL083,Maíz,2024-04-03,2025-04-02,"-46.224703, 170.484627",Arcilloso,7.9,26.1,22.5,858.7,1927.5,Potasio,Piretroide,576.1,1089.6,Regular,,illo,Convencional,ipsum
CUL084,Arroz,2024-12-17,2024-05-13,"46.508580, -92.193244",Calizo,7.2,25.9,26.6,740.0,1208.1,Potasio,Glifosato,784.5,1564.3,Regular,,,Hidropónico,quia
CUL085,Arroz,2024-10-16,2024-11-22,"-65.185721, -73.428712",Arenoso,7.0,55.0,24.1,225.7,2725.0,,Organofosforado,194.1,2378.8,Buena,,,Hidropónico,eveniet
CUL086,Arroz,2024-11-21,2024-06-01,"-21.154904, 97.130595",Arenoso,4.7,65.8,30.8,680.1,1888.3,NPK,Organofosforado,925.8,3612.6,Buena,,,Hidropónico,deserunt
CUL087,Soja,2024-07-08,2024-05-14,"70.050365, -68.913496",Franco,,75.1,21.9,542.6,1329.1,Potasio,Carbamato,642.3,4674.2,Regular,,impedit,Convencional,dolor
CUL088,Papa,,2024-10-20,"37.759910, 176.753959",,4.1,42.1,15.9,584.2,1463.2,Fosfato,Glifosato,270.2,4666.2,Excelente,,,Hidropónico,dolore
CUL089,Trigo,2024-04-14,2024-12-18,"-88.4192975, 150.000731",Calizo,4.9,23.3,21.1,492.3,1106.2,NPK,Piretroide,752.9,1704.4,,,adipisci,Hidropónico,iure
CUL090,Papa,2024-06-13,2024-03-16,"85.801309, -1.303086",Arcilloso,7.7,15.2,32.4,751.9,2313.3,Fosfato,Carbamato,271.8,2576.1,Excelente,odio,,Hidropónico,ad
CUL091,Soja,2025-01-25,2025-01-14,"75.050433, -94.195799",Calizo,5.0,45.1,30.2,769.9,2593.7,Fosfato,,281.5,4745.3,Buena,,,Hidropónico,corporis
CUL092,,2024-10-07,2024-11-01,"70.5860955, -17.846152",Calizo,5.8,66.2,34.6,722.4,1221.4,NPK,Carbamato,163.3,,Excelente,,,Convencional,aperiam
CUL093,Papa,2024-11-16,2024-11-05,"-42.8643365, 100.737556",Calizo,4.7,75.4,18.7,,2680.4,NPK,Carbamato,140.6,4057.4,Excelente,,,Hidropónico,cum
CUL094,Maíz,2024-06-15,2025-04-20,"22.6382155, 101.915770",Franco,,13.6,29.9,612.6,1487.7,Urea,Glifosato,632.2,4237.3,Excelente,autem,,Convencional,repellat
CUL095,Soja,2024-06-29,2025-01-01,"17.125314, -52.503605",Arenoso,5.1,72.7,31.6,436.0,2579.6,Potasio,Organofosforado,456.3,3794.4,Excelente,,,Orgánico,animi
CUL096,Soja,2024-04-05,2025-02-22,,Calizo,5.9,30.1,20.6,102.7,1615.8,Potasio,Glifosato,222.5,4205.1,Regular,,iusto,Convencional,soluta
CUL097,Trigo,2024-09-27,2025-04-25,"89.4388465, -9.641592",Franco,7.4,64.9,26.7,948.6,2366.6,Urea,Piretroide,144.4,4928.9,Regular,,,Hidropónico,quisquam
CUL098,Arroz,2024-11-29,2024-10-28,"35.015768, -41.437880",Calizo,6.7,80.0,20.4,200.0,1458.0,,Piretroide,511.1,2308.3,Regular,,,Convencional,temporibus
CUL099,Papa,2024-08-12,2025-01-27,"-31.9818865, -110.140661",Arenoso,5.4,32.4,26.7,707.9,2566.9,Fosfato,Carbamato,976.0,1256.4,Excelente,eveniet,,Hidropónico,illum
CUL100,Arroz,2025-02-06,2024-12-17,"-21.918455, 27.831363",,5.9,78.7,33.1,153.1,2577.6,Urea,Carbamato,641.3,1593.0,Regular,porro,,Hidropónico,molestias
